seccion,titulo,descripcion,enlace,fecha
general,"Transfer rumors, news: Liverpool look to Martinez ...",Liverpool's move to sign Aston Villa goalkeeper Emiliano Martinez is gaining momentum. Transfer Talk has the latest.,https://www.espn.com/soccer/story/_/id/48747741/transfer-rumors-news-liverpool-look-martinez-alisson-replacement,"Tue, 12 May 2026 05:51:44 EST"
nba,Takeaways from Thunder-Lakers Game 4,Here's what we've learned -- and what's next for the Cavs-Pistons and the Wolves-Spurs series.,https://www.espn.com/nba/story/_/id/48676289/2026-nba-playoffs-conference-semifinals-round-2-takeaways,"Tue, 12 May 2026 02:05:06 EST"
nba,LeBron: 'I don't know what the future holds',"LeBron James, whose record-setting 23rd season ended with an unceremonious 115-110 loss to the Thunder in Game 4 of a second-round sweep of the Lakers, was noncommittal about whether he will continue playing in L.A. -- or elsewhere.",https://www.espn.com/nba/story/_/id/48747842/lakers-lebron-james-know-future-holds-me,"Tue, 12 May 2026 07:00:09 EST"
nba,OKC escapes late L.A. charge to complete sweep,"The Lakers refused to fold while facing elimination, but the Thunder ultimately pulled away to improve to 8-0 this postseason.",https://www.espn.com/nba/story/_/id/48747206/thunder-escape-late-lakers-charge-complete-sweep,"Tue, 12 May 2026 04:21:10 EST"
nba,Mitchell's record-tying 2nd half evens East semis,"Donovan Mitchell tied an NBA playoff record with 39 points in the second half, and the Cavaliers evened their second-round series against the Pistons with a 112-103 victory Monday night.",https://www.espn.com/nba/story/_/id/48746487/donovan-mitchell-ties-nba-playoff-record-39-points-second-half-cavaliers-even-series-vs-pistons,"Tue, 12 May 2026 04:21:10 EST"
nba,Bickerstaff calls FT disparity in loss 'unacceptab...,"Pistons coach J.B. Bickerstaff called the gulf in attempted free throws between his team and the Cavaliers in Monday's Game 4 loss ""unacceptable.""",https://www.espn.com/nba/story/_/id/48747058/bickerstaff-calls-ft-disparity-game-4-loss-unacceptable,"Tue, 12 May 2026 04:21:10 EST"
nba,No discipline for Wemby elbow; he'll play Game 5,"Spurs star Victor Wembanyama will not face any further discipline for elbowing Minnesota's Naz Reid and will play in Game 5 against the Timberwolves in San Antonio, sources told ESPN.",https://www.espn.com/nba/story/_/id/48742211/no-discipline-wembanyama-reid-elbow-play-game-5,"Tue, 12 May 2026 04:21:10 EST"
nba,Sources: Bucks seeking trade offers for Giannis,"The Bucks are open for business on trade calls and offers for Giannis Antetokounmpo, sources told ESPN.",https://www.espn.com/nba/story/_/id/48741814/sources-bucks-seeking-trade-offers-giannis-antetokounmpo,"Tue, 12 May 2026 04:21:10 EST"
nba,Spurs' Fox (ankle) questionable for Game 5,The Spurs listed guard De'Aaron Fox as questionable for Tuesday's Game 5 of the Western Conference semifinals at Frost Bank Center because of right ankle soreness.,https://www.espn.com/nba/story/_/id/48746586/spurs-deaaron-fox-dealing-right-ankle-soreness,"Tue, 12 May 2026 04:21:10 EST"
nba,"🍼 LaOne: LaMelo, partner welcome first child","The couple also revealed they will be launching I Am Fertility, a nonprofit ""dedicated to supporting women navigating fertility and IVF journeys.""",https://www.espn.com/nba/story/_/id/48734873/lamelo-ball-birth-first-child-laone,"Tue, 12 May 2026 04:21:10 EST"
nba,"Copy of Lucky socks, a fishhook and pickup hoops: How the ...",ESPN was granted behind-the-scenes access to Washington on the day the franchise secured the No. 1 pick of the 2026 NBA draft.,https://www.espn.com/nba/story/_/id/48742366/washington-wizards-nba-lottery-draft-2026-first-overall-pick-aj-dybantsa,"Tue, 12 May 2026 08:05:45 EST"
nba,Copy of Windhorst: Everything I saw inside the NBA's myste...,Here's everything that transpired as the ping-pong balls were selected.,https://www.espn.com/nba/story/_/id/48737761/inside-secret-nba-lottery-room-ahead-2026-draft-picks-rounds-jokes-silence-ping-pong-balls,"Tue, 12 May 2026 08:05:45 EST"
nba,"The French Connection: Gobert, Wemby put their fri...",The French big men have been friends for a decade and now face off against each other in a 2-2 series.,https://www.espn.com/nba/story/_/id/48742665/rivalry-friendship-rudy-gobert-victor-wembanyama-spurs-timberwolves-playoffs,"Tue, 12 May 2026 07:48:28 EST"
nba,The Wizards have the No. 1 pick! Updated mock draf...,"The Wizards, Jazz and Grizzlies have the top picks in the 2026 NBA draft. Here's Jeremy Woo's updated mock.",https://www.espn.com/nba/story/_/id/48713262/2026-nba-mock-draft-pick-projections-picks-post-lottery-dybantsa-peterson,"Tue, 12 May 2026 08:05:15 EST"
nba,Copy of NBA combine primer: What to watch for and who coul...,"The NBA draft combine is here, with dozens of prospects competing to raise their stock. Here's what to know.",https://www.espn.com/nba/story/_/id/48694379/2026-nba-draft-combine-preview-players-workouts-watch-chicago-dybantsa-peterson-boozer-wilson,"Tue, 12 May 2026 08:05:15 EST"
nba,Latest NBA buzz: Everything we're hearing ahead of...,"Here's the latest news and reactions from our insiders, including Giannis' status with the Bucks.",https://www.espn.com/nba/story/_/id/48377855/2026-nba-buzz-latest-live-updates-news-intel-nba-draft-offseason,"Tue, 12 May 2026 02:02:18 EST"
nba,"Offseason guides: Draft, free agency, trade target...","What lies ahead for the Magic, Celtics, Nuggets, Warriors and every eliminated team?",https://www.espn.com/nba/story/_/id/48432907/nba-offseason-2026-draft-free-agency-trade-targets-30-teams,"Tue, 12 May 2026 02:10:47 EST"
nba,Why a familiar summer awaits Joel Embiid and the 7...,"After a historic comeback gave way to a second-round sweep, the 76ers face another offseason of health and roster questions.",https://www.espn.com/nba/story/_/id/48622748/nba-playoffs-2026-embiid-76ers-face-familiar-offseason-knicks-sweep,"Mon, 11 May 2026 11:17:40 EST"
nba,"Steve Kerr is back: Why he signed a new deal, and ...",Why did Kerr decide to return? How will this impact the Warriors' offseason? Here's everything you need to know about Kerr's new deal with Golden State.,https://www.espn.com/nba/story/_/id/48565081/steve-kerr-returning-golden-state-warriors-coach-answering-questions-next-offseason-moves,"Mon, 11 May 2026 16:03:33 EST"
nfl,"Wait, why didn't my NFL team ____? Reasonable answ...","Let's make sense of the Cowboys not extending George Pickens, the Steelers bypassing QB upgrades, the Dolphins not trading De'Von Achane and more.",https://www.espn.com/nfl/story/_/id/48742512/2026-nfl-offseason-10-teams-questions-explaining-missed-moves,"Tue, 12 May 2026 07:27:23 EST"
nfl,Bills to open new stadium in Week 2 vs. Lions,"The Bills will play their first regular-season game at their new home, the newly constructed Highmark Stadium, in Week 2 against the Lions, it was announced Monday.",https://www.espn.com/nfl/story/_/id/48744949/bills-play-first-regular-season-game-new-stadium-week-2,"Tue, 12 May 2026 07:27:27 EST"
